Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	193	Fc3:1 - 3	-2.1	193	Ag124-Fc		426_B1_1_01_G10
Yes	193	Fc3:2 - 3	11.4	193	Ag124 IgV		426_B1_1_01_G10
Yes	193	Fc4:1 - 3	402.0	193	Ag124-Fc		426_B1_1_01_H10
Yes	193	Fc4:2 - 3	61.9	193	Ag124 IgV		426_B1_1_01_H10
Yes	194	Fc1:1 - 3	459.9	194	Ag124-Fc		426_B1_1_01_E11
Yes	194	Fc1:2 - 3	65.4	194	Ag124 IgV		426_B1_1_01_E11
Yes	194	Fc2:1 - 3	-1.1	194	Ag124-Fc		426_B1_1_01_F11
Yes	194	Fc2:2 - 3	26.7	194	Ag124 IgV		426_B1_1_01_F11
Yes	194	Fc3:1 - 3	77.7	194	Ag124-Fc		426_B1_1_01_G11
Yes	194	Fc3:2 - 3	40.6	194	Ag124 IgV		426_B1_1_01_G11
Yes	194	Fc4:1 - 3	583.8	194	Ag124-Fc		426_B1_1_01_H11
Yes	194	Fc4:2 - 3	46.5	194	Ag124 IgV		426_B1_1_01_H11
Yes	195	Fc1:1 - 3	-8.2	195	Ag124-Fc		426_B1_1_01_E12
Yes	195	Fc1:2 - 3	1.7	195	Ag124 IgV		426_B1_1_01_E12
Yes	195	Fc2:1 - 3	250.8	195	Ag124-Fc		426_B1_1_01_F12
Yes	195	Fc2:2 - 3	64.7	195	Ag124 IgV		426_B1_1_01_F12
Yes	195	Fc3:1 - 3	-2.6	195	Ag124-Fc		426_B1_1_01_G12
Yes	195	Fc3:2 - 3	12.3	195	Ag124 IgV		426_B1_1_01_G12
Yes	195	Fc4:1 - 3	-11.8	195	Ag124-Fc		426_B1_1_01_H12
Yes	195	Fc4:2 - 3	-10.9	195	Ag124 IgV		426_B1_1_01_H12
Yes	196	Fc1:1 - 3	-3.3	196	Ag124-Fc		428_B1_1_01_A01
Yes	196	Fc1:2 - 3	-3.2	196	Ag124 IgV		428_B1_1_01_A01
Yes	196	Fc2:1 - 3	-5.0	196	Ag124-Fc		428_B1_1_01_B01
Yes	196	Fc2:2 - 3	4.8	196	Ag124 IgV		428_B1_1_01_B01
Yes	196	Fc3:1 - 3	-0.1	196	Ag124-Fc		428_B1_1_01_C01
Yes	196	Fc3:2 - 3	3.1	196	Ag124 IgV		428_B1_1_01_C01
Yes	196	Fc4:1 - 3	-5.3	196	Ag124-Fc		428_B1_1_01_D01
Yes	196	Fc4:2 - 3	2.3	196	Ag124 IgV		428_B1_1_01_D01
Yes	197	Fc1:1 - 3	-3.0	197	Ag124-Fc		428_B1_1_01_A02
